Trait;Modalities;Accronyme;Type
Maximum size (mm);<2;Size_inf2;Effect/Response
Maximum size (mm);2 to 5;Size_2-5;Effect/Response
Maximum size (mm);5 to 10;Size_5-10;Effect/Response
Maximum size (mm);10 to 50;Size_10-50;Effect/Response
Maximum size (mm);50 to 100;Size_50-100;Effect/Response
Maximum size (mm);100 to 200;Size_100-200;Effect/Response
Maximum size (mm);>200;Size_sup200;Effect/Response
Feeding method;Subsurface deposit feeder;SSDF;Effect
Feeding method;Surface deposit feeder;SDF;Effect
Feeding method;Active suspension feeder;ASF;Effect
Feeding method;Passive suspension feeder;PSF;Effect
Feeding method;Grazer;Grazer;Effect
Feeding method;Predator;Pred;Effect
Feeding method;Scavenger;Scav;Effect
Feeding method;Parasitic;Parasitic;Effect
Food size;Microphageous;Microphagous;Effect
Food size;Macrophagous;Macrophagous;Effect
Preferred substrate position (adults) ;Infaunal;Infaunal;Effect
Preferred substrate position (adults) ;Epibenthic;Epibenthic;Effect
Living habit;Tube dweller;Tube_dweller;Response
Living habit;Burrower;Burrower;Response
Living habit;Crawler;Crawler;Response
Living habit;Swimmer;Swimmer;Response
Living habit;Attached;Attached;Response
Adult movement capacity (daily);None (0m);Mob_0;Response
Adult movement capacity (daily);<10m ;Mob_inf10;Response
Adult movement capacity (daily);10-100m ;Mob_10-100;Response
Adult movement capacity (daily);100 - 1000m ;Mob_100-1000;Response
Bioturbation;None;Bioturb_N;Effect
Bioturbation;S;Bioturb_S;Effect
Bioturbation;B;Bioturb_B;Effect
Bioturbation;UC;Bioturb_UC;Effect
Bioturbation;DC;Bioturb_DC;Effect
Bioturbation;R;Bioturb_R;Effect
Sexual differenciation ;Hermaphrodite;Hermaphrodite;Response
Sexual differenciation ;Gonochoric;Gonochoric;Response
Development mode;Asexual;Dev_asex;Response
Development mode;Direct;Dev_direct;Response
Development mode;Indirect - planktotrophic ;Dev_plankto;Response
Development mode;Indirect - lecithotrophic ;Dev_lecitho;Response
Reproduction frequency;Iteroparous;Iteroparous;Response
Reproduction frequency;Semelparous;Semelparous;Response
Life span;Short (< 2 years);Short_life_span;Response
Life span;Medium (2 to 5 years);Medium_life_span;Response
Life span;Long (> 5 years);Long_life_span;Response
