Kingdom,Phylum,Class,Order,Family,Genus,Species,species,Size_inf2,Size_2-5,Size_5-10,Size_10-50,Size_50-100,Size_100-200,Size_sup200,SSDF,SDF,ASF,PSF,Grazer,Pred,Scav,Parasitic,Microphagous,Macrophagous,Infaunal,Epibenthic,Tube_dweller,Burrower,Crawler,Swimmer,Attached,Mob_0,Mob_inf10,Mob_10-100,Mob_100-1000,Bioturb_N,Bioturb_S,Bioturb_B,Bioturb_UC,Bioturb_DC,Bioturb_R,Hermaphrodite,Gonochoric,Dev_asex,Dev_direct,Dev_plankto ,Dev_lecitho,Iteroparous,Semelparous,Short_life_span,Medium_life_span,Long_life_span
Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Pareurythoe,Pareurythoe borealis,Pareurythoe borealis,0,0,0,4,0,0,0,0,1,0,0,0,2,3,0,1,3,1,3,0,2,3,1,0,0,4,0,0,0,0,4,0,0,0,0,4,,,,,4,0,,,
Animalia,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine,Euphrosine foliosa,Euphrosine foliosa,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,Dorvillea rubrovittata,Dorvillea rubrovittata,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,2,0,2,,,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,Protodorvillea kefersteini,Protodorvillea kefersteini,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,4,0,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos neglecta,Schistomeringos neglecta,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,Schistomeringos rudolphi,Schistomeringos rudolphi,0,0,0,4,0,0,0,0,2,0,0,2,3,3,0,2,2,1,3,0,1,3,1,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice pennata,Eunice pennata,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,4,2,2,4,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice vittata,Eunice vittata,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,0,4,0,4,0,,,
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,Leodice harassii,Leodice harassii,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,0,4,0,4,0,0,0,4
Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Leodice,Leodice torquata,Leodice torquata,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,4,2,2,0,1,3,0,0,0,0,3,1,0,0,4,0,0,0,0,4,0,4,0,0,4,0,,,
